IP,DisplayName,HostGroup,CollectorGroupID,Auto-Balanced,CollectorID,kineticit.class,kineticit.subclass,kineticit.supportGroup,kineticit.location,kineticit.hostRole,kineticit.priority,kineticit.environment,kineticit.clientid,Location,kineticit.patching,kineticit.sla,kineticit.alert,kineticit.category
192.168.150.18,AMS01,Customers/NAA/01. Resources,19,FALSE,19,Server,Windows,KIT - Infrastructure Services,"Western Australia, Australia",NAA,1,Production,QTS,Perth,,TRUE,TRUE,
192.168.150.30,NAABCK02,Customers/NAA/01. Resources,19,FALSE,19,Server,Windows,KIT - Infrastructure Services,"Western Australia, Australia",NAA,1,Production,QTS,Perth,,TRUE,TRUE,
192.168.150.63,NAACA02,Customers/NAA/01. Resources,19,FALSE,19,Server,Windows,KIT - Infrastructure Services,"Western Australia, Australia",NAA,2,Production,QTS,Perth,,TRUE,TRUE,
192.168.150.23,NAADC01,Customers/NAA/01. Resources,19,FALSE,19,Server,Windows,KIT - Infrastructure Services,"Western Australia, Australia",NAA,2,Production,QTS,Perth,,TRUE,TRUE,
192.168.150.65,NAADC03,Customers/NAA/01. Resources,19,FALSE,19,Server,Windows,KIT - Infrastructure Services,"Western Australia, Australia",NAA,1,Production,QTS,Perth,,TRUE,TRUE,
192.168.150.61,NAADC05,Customers/NAA/01. Resources,19,FALSE,19,Server,Windows,KIT - Infrastructure Services,"Western Australia, Australia",NAA,1,Production,QTS,Perth,,TRUE,TRUE,
192.168.150.45,NAAFD01,Customers/NAA/01. Resources,19,FALSE,19,Server,Windows,KIT - Infrastructure Services,"Western Australia, Australia",NAA,1,Production,QTS,Perth,,TRUE,TRUE,
192.168.150.62,NAAFD02,Customers/NAA/01. Resources,19,FALSE,19,Server,Windows,KIT - Infrastructure Services,"Western Australia, Australia",NAA,1,Production,QTS,Perth,,TRUE,TRUE,
192.168.150.41,NAAPOC01,Customers/NAA/01. Resources,19,FALSE,19,Server,Windows,KIT - Infrastructure Services,"Western Australia, Australia",NAA,2,Production,QTS,Perth,,TRUE,TRUE,
192.168.150.47,NAAPR01,Customers/NAA/01. Resources,19,FALSE,19,Server,Windows,KIT - Infrastructure Services,"Western Australia, Australia",NAA,2,Production,QTS,Perth,,TRUE,TRUE,
192.168.150.26,NAAPS01,Customers/NAA/01. Resources,19,FALSE,19,Server,Windows,KIT - Infrastructure Services,"Western Australia, Australia",NAA,2,Production,QTS,Perth,,TRUE,TRUE,
192.168.150.69,NAARDSG01,Customers/NAA/01. Resources,19,FALSE,19,Server,Windows,KIT - Infrastructure Services,"Western Australia, Australia",NAA,2,Production,QTS,Perth,,TRUE,TRUE,
192.168.150.80,NAARDSH01,Customers/NAA/01. Resources,19,FALSE,19,Server,Windows,KIT - Infrastructure Services,"Western Australia, Australia",NAA,2,Production,QTS,Perth,,TRUE,TRUE,
192.168.150.82,NAARDSH03,Customers/NAA/01. Resources,19,FALSE,19,Server,Windows,KIT - Infrastructure Services,"Western Australia, Australia",NAA,2,Production,QTS,Perth,,TRUE,TRUE,
192.168.150.85,NAARDSH04,Customers/NAA/01. Resources,19,FALSE,19,Server,Windows,KIT - Infrastructure Services,"Western Australia, Australia",NAA,2,Production,QTS,Perth,,TRUE,TRUE,
192.168.150.86,NAARDSH05,Customers/NAA/01. Resources,19,FALSE,19,Server,Windows,KIT - Infrastructure Services,"Western Australia, Australia",NAA,2,Production,QTS,Perth,,TRUE,TRUE,
192.168.150.78,NAARDSW01,Customers/NAA/01. Resources,19,FALSE,19,Server,Windows,KIT - Infrastructure Services,"Western Australia, Australia",NAA,2,Production,QTS,Perth,,TRUE,TRUE,
192.168.150.42,NAATS02,Customers/NAA/01. Resources,19,FALSE,19,Server,Windows,KIT - Infrastructure Services,"Western Australia, Australia",NAA,1,Production,QTS,Perth,,TRUE,TRUE,
10.148.139.7,NAATS03,Customers/NAA/01. Resources,19,FALSE,19,Server,Windows,KIT - Infrastructure Services,"Western Australia, Australia",NAA,1,Production,QTS,Perth,,TRUE,TRUE,
192.168.150.32,NAATS04,Customers/NAA/01. Resources,19,FALSE,19,Server,Windows,KIT - Infrastructure Services,"Western Australia, Australia",NAA,1,Production,QTS,Perth,,TRUE,TRUE,
192.168.150.35,NAATS05,Customers/NAA/01. Resources,19,FALSE,19,Server,Windows,KIT - Infrastructure Services,"Western Australia, Australia",NAA,1,Production,QTS,Perth,,TRUE,TRUE,
192.168.150.38,NAATS07,Customers/NAA/01. Resources,19,FALSE,19,Server,Windows,KIT - Infrastructure Services,"Western Australia, Australia",NAA,1,Production,QTS,Perth,,TRUE,TRUE,
192.168.150.152,NAAUTIL01,Customers/NAA/01. Resources,19,FALSE,19,Server,Windows,KIT - Infrastructure Services,"Western Australia, Australia",NAA,2,Production,QTS,Perth,,TRUE,TRUE,
192.168.150.46,NAAWSUS01,Customers/NAA/01. Resources,19,FALSE,19,Server,Windows,KIT - Infrastructure Services,"Western Australia, Australia",NAA,2,Production,QTS,Perth,,TRUE,TRUE,
